listing_url,name,property_type,host_is_superhost,host_acceptance_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,price
https://www.airbnb.com/rooms/49212602,Confortable ambiance familiale,Private room in rental unit,False,95.5,Lausanne,Lausanne,55.0
https://www.airbnb.com/rooms/49237029,Appartement à Chantebrise,Entire rental unit,False,86.75,Ollon,Aigle,189.75
https://www.airbnb.com/rooms/49252663,Chambre calme à 25 min de Lausanne et Genève,Private room in rental unit,False,67.75,Gimel,Morges,51.0
https://www.airbnb.com/rooms/49254962,Leben im Hafen am idyllischen Murtensee,Entire condo,False,100.0,Vully-les-Lacs,Broye-Vully,188.0
https://www.airbnb.com/rooms/49257673,Lake ZEEN,Entire place,True,97.0,Lutry,Lavaux-Oron,175.0
https://www.airbnb.com/rooms/49283542,Charming apartment with great view,Entire condo,False,71.0,Château-d'Oex,Riviera-Pays-d'Enhaut,180.0
https://www.airbnb.com/rooms/49299666,Appt moderne vue panoramique sur lac et Mont-Blanc,Entire rental unit,False,68.25,Perroy,Nyon,114.5
https://www.airbnb.com/rooms/49304109,Chalet la Frêtaz by Interhome,Entire home,False,96.0,Bullet,Jura-Nord vaudois,221.0
https://www.airbnb.com/rooms/49304112,Chalet Les Rochers Blancs by Interhome,Entire home,False,94.0,Ollon,Aigle,422.0
https://www.airbnb.com/rooms/49304167,Les Arsets 56/2 by Interhome,Entire rental unit,False,94.0,Gryon,Aigle,101.0
https://www.airbnb.com/rooms/49304168,Dörfli by Interhome,Entire home,False,96.0,Ormont-Dessus,Aigle,358.0
https://www.airbnb.com/rooms/49304214,Bellevue by Interhome,Entire home,False,96.0,Bourg-en-Lavaux,Lavaux-Oron,363.0
https://www.airbnb.com/rooms/49304235,Armorial II / apt 6 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,227.0
https://www.airbnb.com/rooms/49304247,Montagnards 13 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,107.0
https://www.airbnb.com/rooms/49304321,Les Arsets 01/203 by Interhome,Entire rental unit,False,94.0,Gryon,Aigle,125.0
https://www.airbnb.com/rooms/49304345,Chalet L'Aube by Interhome,Entire rental unit,False,94.0,Ormont-Dessus,Aigle,227.0
https://www.airbnb.com/rooms/49304365,Val Neige Apt. 12 by Interhome,Entire rental unit,False,94.0,Ormont-Dessus,Aigle,177.0
https://www.airbnb.com/rooms/49304394,Goeland n°4 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,205.0
https://www.airbnb.com/rooms/49304413,Grand Hôtel A10 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,249.0
https://www.airbnb.com/rooms/49304420,Mandarin 7 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,144.0
https://www.airbnb.com/rooms/49304427,Aiguilles Dorées I/2 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,158.0
https://www.airbnb.com/rooms/49304431,Chantebrise A1 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,218.0
https://www.airbnb.com/rooms/49304470,Montagnards 17 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,249.0
https://www.airbnb.com/rooms/49304501,Les Savolaires 4 by Interhome,Entire rental unit,False,94.0,Gryon,Aigle,147.0
https://www.airbnb.com/rooms/49304502,Marmousets 2 by Interhome,Entire rental unit,False,94.0,Ollon,Aigle,292.0
https://www.airbnb.com/rooms/49319380,Stunning little pied-à-terre 15min from Gstaad!,Entire rental unit,False,100.0,Château-d'Oex,Riviera-Pays-d'Enhaut,180.0
